epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2799.73,0.87971,0.50062,1.26586,0.9606,0.95303,0.98181,0.64637,1.34629,0.53351,1.79773,0.002872,0.002872,0.002872
146,2818.73,0.87697,0.49757,1.26202,0.9722,0.93811,0.97955,0.65657,1.32696,0.55196,1.79026,0.0028225,0.0028225,0.0028225
147,2837.73,0.8764,0.49648,1.25677,0.97313,0.96091,0.9852,0.65172,1.33463,0.54611,1.8136,0.002773,0.002773,0.002773
148,2856.99,0.86805,0.49074,1.25229,0.96654,0.95114,0.98393,0.65464,1.34057,0.5518,1.79576,0.0027235,0.0027235,0.0027235
149,2875.99,0.86124,0.48466,1.24591,0.96982,0.94203,0.98272,0.65272,1.357,0.53247,1.85432,0.002674,0.002674,0.002674
150,2895.04,0.87145,0.49998,1.246,0.95469,0.9608,0.98298,0.64939,1.34536,0.52134,1.82703,0.0026245,0.0026245,0.0026245
151,2913.8,0.85852,0.49418,1.24412,0.96005,0.96417,0.98752,0.65331,1.34283,0.52442,1.83566,0.002575,0.002575,0.002575
152,2932.71,0.84703,0.46935,1.23086,0.96989,0.94428,0.98445,0.65409,1.34068,0.54069,1.81681,0.0025255,0.0025255,0.0025255
153,2951.36,0.85262,0.48386,1.24144,0.96112,0.96634,0.98495,0.6577,1.34519,0.52305,1.82175,0.002476,0.002476,0.002476
154,2970.09,0.85587,0.4793,1.24174,0.95789,0.96417,0.984,0.6609,1.33518,0.54064,1.81283,0.0024265,0.0024265,0.0024265
155,2988.57,0.84402,0.47847,1.2278,0.97356,0.96417,0.98611,0.65195,1.3548,0.52815,1.83543,0.002377,0.002377,0.002377
156,3007.21,0.84353,0.47527,1.2303,0.96999,0.94746,0.98399,0.64611,1.34408,0.52689,1.82356,0.0023275,0.0023275,0.0023275
157,3025.91,0.83387,0.46632,1.22501,0.95763,0.97394,0.98697,0.65354,1.34642,0.52172,1.83845,0.002278,0.002278,0.002278
158,3044.9,0.82503,0.46233,1.22039,0.98326,0.95646,0.99002,0.66126,1.34614,0.51996,1.83796,0.0022285,0.0022285,0.0022285
159,3065.58,0.83433,0.47524,1.22144,0.97009,0.95079,0.98459,0.65435,1.35334,0.52901,1.87553,0.002179,0.002179,0.002179
160,3085.78,0.82909,0.4651,1.21263,0.97706,0.94137,0.98477,0.65157,1.33663,0.53308,1.85432,0.0021295,0.0021295,0.0021295
161,3107.68,0.82642,0.46412,1.21488,0.96742,0.96718,0.98978,0.65236,1.32196,0.52849,1.82599,0.00208,0.00208,0.00208
